Date,Open,High,Low,Close ,Adj Close ,Volume
28-Apr-24,427.57,442.3,425.19,438.18,428.72,"11,086,800"
21-Apr-24,406.94,428.53,404.57,427.57,418.34,"12,696,600"
14-Apr-24,407,412.87,395.18,404,395.28,"19,591,900"
7-Apr-24,409.1,413.22,387.12,389.49,381.08,"9,324,100"
31-Mar-24,416.68,419,401.47,408.07,399.26,"8,788,300"
24-Mar-24,406.87,419.2,403.86,417.69,408.67,"7,854,200"
17-Mar-24,388.65,416.76,383.41,406.82,398.04,"12,888,000"
10-Mar-24,385.67,396.38,381.42,387.21,378.85,"12,521,700"
3-Mar-24,388.81,397.49,384.52,386.99,378.64,"11,035,600"
25-Feb-24,391.05,396.06,385.25,388.1,377.05,"10,932,400"
18-Feb-24,380.95,396.79,380.85,391.05,379.92,"8,706,200"
11-Feb-24,385,396.35,375.2,384.44,373.5,"12,464,700"
4-Feb-24,384.6,388.11,381,384.26,373.32,"9,624,000"
28-Jan-24,375.89,393.91,374.24,387.86,376.82,"13,270,700"
21-Jan-24,386.36,392.73,376.75,377.79,367.03,"14,312,800"
14-Jan-24,378.36,385.01,372.07,382.2,371.32,"10,711,600"
7-Jan-24,385.97,389.08,374.68,377.75,367,"9,591,700"
31-Dec-23,383,389.47,376.76,386.44,375.44,"9,060,600"
24-Dec-23,380.65,387.76,380.05,385.77,374.79,"4,110,500"
17-Dec-23,381.26,385.13,374.55,380.65,369.81,"9,509,000"
10-Dec-23,351.44,386.2,349.05,380.51,369.68,"16,008,000"
3-Dec-23,346.3,352.29,340.54,350.83,340.84,"10,878,300"
26-Nov-23,339.19,348.89,334.87,348.43,335.75,"10,234,000"
19-Nov-23,340,341.32,334.55,339.15,326.81,"6,742,200"
12-Nov-23,324.16,341.78,323.53,339.19,326.85,"10,616,100"
5-Nov-23,326.66,328.9,319.66,325.51,313.67,"8,646,300"
29-Oct-23,293.45,329.33,293.29,327.62,315.7,"14,359,400"
22-Oct-23,298.29,303.55,289.36,289.91,279.36,"11,079,100"
15-Oct-23,313.18,316.18,298.1,300.05,289.13,"15,397,700"
8-Oct-23,308.9,316.85,308.02,309.3,298.05,"7,473,600"
1-Oct-23,322.03,323.58,303.48,312.48,301.11,"9,474,100"
24-Sep-23,327.07,329.29,318.98,323.57,311.8,"6,601,600"
17-Sep-23,342.54,344.97,326.83,327.89,315.96,"7,595,400"
10-Sep-23,328.26,346.19,324,342.54,330.08,"11,384,300"
3-Sep-23,327.34,328.48,319.31,325.52,313.68,"7,464,300"
27-Aug-23,321.34,332.7,321.34,327.4,312.88,"6,875,800"
20-Aug-23,325.39,327.49,318,320.15,305.95,"7,568,000"
13-Aug-23,337.41,338.45,323.2,324.93,310.52,"11,210,400"
6-Aug-23,355.4,357.67,337.55,340.73,325.62,"7,106,300"
30-Jul-23,354.88,358.73,348.62,353.22,337.55,"9,081,500"
23-Jul-23,352.83,361.62,351.61,353.23,337.56,"12,530,300"
16-Jul-23,325.89,355.08,324.36,351.96,336.35,"18,845,200"
9-Jul-23,316.67,333.35,314.58,326.19,311.72,"11,162,300"
2-Jul-23,322.41,329.4,312.7,315.17,301.19,"9,465,900"
25-Jun-23,315.13,326.03,310.56,322.54,308.24,"12,976,100"
18-Jun-23,335.32,335.38,314.07,314.71,300.75,"10,385,100"
11-Jun-23,338.44,347.73,335.7,338.31,323.31,"13,748,100"
4-Jun-23,322.93,337.84,320.32,336.02,321.12,"10,052,800"
28-May-23,332.08,332.53,314.02,323.65,306.96,"12,264,000"
21-May-23,326.15,332.87,318.8,332.01,314.89,"8,826,100"
14-May-23,320.42,331.95,318.06,326.15,309.33,"8,086,200"
7-May-23,329.64,330.3,317.32,319.5,303.02,"7,226,800"
30-Apr-23,344.05,347.46,318.56,327.02,310.16,"10,976,000"
23-Apr-23,341.99,345.06,334.64,343.44,325.73,"9,627,100"
16-Apr-23,336,342.36,326.13,341.66,324.04,"17,683,800"
9-Apr-23,322.4,339.63,321.31,336.92,319.54,"8,577,600"
2-Apr-23,326.14,328.98,319.37,322.4,305.77,"5,985,900"
26-Mar-23,318.62,327.33,316.12,327.11,310.24,"8,738,200"
19-Mar-23,306.78,322.22,305.36,312.57,296.45,"14,754,600"
12-Mar-23,319.67,326.38,301.87,303.54,287.89,"26,812,200"
5-Mar-23,358.06,358.86,326.03,327.67,310.77,"12,984,800"
26-Feb-23,368.22,370.3,340.49,357.09,336.27,"16,161,400"
19-Feb-23,366.72,367.88,358.04,363.85,342.63,"8,966,800"
12-Feb-23,369.09,377.05,366.86,368.5,347.01,"9,218,400"
5-Feb-23,369,379.68,364.56,371.28,349.63,"9,900,800"
29-Jan-23,353.29,374.57,352.4,369.95,348.38,"13,248,100"
22-Jan-23,341.67,355.99,336.16,353.7,333.07,"13,619,500"
15-Jan-23,364.8,366.79,338.21,341.84,321.91,"34,381,100"
8-Jan-23,351.88,374.35,349.5,374,352.19,"11,139,400"
1-Jan-23,345.5,350.31,340.14,348.08,327.78,"7,966,300"
25-Dec-22,346.51,347.75,339.3,343.38,323.36,"4,457,200"
18-Dec-22,346.27,350.88,339.88,345.51,325.36,"7,783,700"
11-Dec-22,358.57,378.56,343.41,346.35,326.15,"15,505,200"
4-Dec-22,378.55,378.87,356.06,359.14,338.2,"11,096,300"
27-Nov-22,385.43,388.39,375.1,380.58,356.05,"10,581,800"
20-Nov-22,378.9,389.44,375.42,388.86,363.8,"6,891,600"
13-Nov-22,384,389.58,375.01,379.2,354.76,"12,787,300"
6-Nov-22,360.01,387,358.52,385.17,360.35,"16,274,900"
30-Oct-22,341.07,358.38,340.57,357.91,334.84,"13,450,100"
23-Oct-22,328.5,342.58,325.85,341.82,319.79,"9,922,900"
16-Oct-22,304.41,325.77,304.14,325.1,304.15,"17,839,000"
9-Oct-22,303.63,311.62,287.75,299.99,280.66,"10,588,700"
2-Oct-22,297.17,315.16,291.1,301.08,281.68,"9,488,600"
25-Sep-22,299,302.41,288.62,293.05,274.16,"10,507,500"
18-Sep-22,320.57,329.79,297.46,301.97,282.51,"10,177,700"
11-Sep-22,341.66,344.37,319.79,326.21,305.19,"10,194,800"
4-Sep-22,332.32,341.03,323.25,340.1,318.18,"6,275,900"
